 #   E (MEV)       THETA_CM     SIG_EL/SIG_R  SIG_INEL(MB)  SIG_INEL/SIG_R  SIG_QEL/SIG_R
    0.48300E+02    0.18000E+03    0.38934E+00    0.82677E+02    0.60464E+00    0.99398E+00
    0.48400E+02    0.18000E+03    0.38711E+00    0.82676E+02    0.60714E+00    0.99425E+00
    0.48500E+02    0.18000E+03    0.38489E+00    0.82663E+02    0.60955E+00    0.99444E+00
    0.48600E+02    0.18000E+03    0.38270E+00    0.82607E+02    0.61165E+00    0.99435E+00
    0.48700E+02    0.18000E+03    0.38055E+00    0.82499E+02    0.61337E+00    0.99392E+00
    0.48800E+02    0.18000E+03    0.37844E+00    0.82354E+02    0.61481E+00    0.99325E+00
    0.48900E+02    0.18000E+03    0.37634E+00    0.82202E+02    0.61619E+00    0.99253E+00
    0.49000E+02    0.18000E+03    0.37425E+00    0.82074E+02    0.61775E+00    0.99200E+00
    0.49100E+02    0.18000E+03    0.37215E+00    0.81988E+02    0.61963E+00    0.99178E+00
    0.49200E+02    0.18000E+03    0.37004E+00    0.81939E+02    0.62178E+00    0.99182E+00
    0.49300E+02    0.18000E+03    0.36794E+00    0.81901E+02    0.62402E+00    0.99196E+00
    0.49400E+02    0.18000E+03    0.36586E+00    0.81842E+02    0.62610E+00    0.99196E+00
    0.49500E+02    0.18000E+03    0.36381E+00    0.81736E+02    0.62783E+00    0.99164E+00
    0.49600E+02    0.18000E+03    0.36180E+00    0.81582E+02    0.62918E+00    0.99098E+00
    0.49700E+02    0.18000E+03    0.35983E+00    0.81396E+02    0.63027E+00    0.99010E+00
    0.49800E+02    0.18000E+03    0.35787E+00    0.81208E+02    0.63135E+00    0.98922E+00
    0.49900E+02    0.18000E+03    0.35592E+00    0.81046E+02    0.63263E+00    0.98855E+00
    0.50000E+02    0.18000E+03    0.35396E+00    0.80924E+02    0.63421E+00    0.98816E+00
    0.50100E+02    0.18000E+03    0.35200E+00    0.80831E+02    0.63601E+00    0.98801E+00
    0.50200E+02    0.18000E+03    0.35004E+00    0.80741E+02    0.63785E+00    0.98789E+00
    0.50300E+02    0.18000E+03    0.34811E+00    0.80624E+02    0.63946E+00    0.98758E+00
    0.50400E+02    0.18000E+03    0.34622E+00    0.80460E+02    0.64071E+00    0.98693E+00
